Id,name,T3_Kills,T2_Kills,T1_Kills,RssAssistance,RssGathered,AllianceHelp,Pass4_T3_Kills,Pass4_T2_Kills,Pass4_T1_Kills,Pass4_RssAssistance,Pass4_RssGathered,Pass4_AllianceHelp,Total_LowTier_Kills,Total_RSS_Gather,Total_Helps,Total_Assistance
14466663,Nodoevents,"448,193","838,105","1,054,504","1,304,534,870","14,586,194,842","34,621","448,193","838,105","1,054,549","1,304,534,870","14,721,769,161","34,761",,,,
9755112,Mr Patito,"2,604,329","3,249,901","7,561,012","9,669,923,668","30,039,799,480","176,612","2,604,331","3,488,048","7,583,633","9,669,923,668","30,617,163,189","180,332",,,,
42272356,Monkey Whale,"5,018,416","2,389,431","9,017,047","9,153,262,805","12,178,110,986","103,761","5,058,809","2,431,871","9,696,181","10,548,262,805","12,298,913,483","105,459",,,,
9430116,ABG71,"1,129,754","2,140,428","8,086,460","4,956,897,871","19,227,603,670","237,744","1,134,588","2,207,049","8,225,182","4,956,897,871","19,413,924,501","240,877",,,,
67220414,CloudStrife,"604,139","594,143","89,410,395","18,570,948,451","15,649,875,706","97,350","604,232","595,880","89,410,414","18,570,948,451","15,777,562,872","98,056",,,,
20690937,Lv94hate24,"2,055,302","1,631,705","36,873,859","7,156,595,273","25,526,291,747","201,758","2,073,069","1,655,893","36,890,668","7,156,595,273","25,859,188,736","204,847",,,,
28150613,Memoza,"438,827","1,153,799","2,315,578","2,009,450,229","22,241,858,113","62,718","458,455","1,213,921","2,397,795","2,009,450,229","22,525,992,304","63,757",,,,
14331709,Bret19,"1,901,749","2,026,934","5,776,883","3,260,329,070","28,740,498,587","1,921,933","1,918,245","2,027,065","5,812,648","3,260,329,070","29,152,256,947","194,291",,,,
9387032,BAnanaa,"623,231","1,166,922","1,593,359","6,830,842,384","36,767,579,179","115,022","623,943","1,166,922","1,593,912","6,830,842,384","37,526,146,963","116,156",,,,
3567450,drakirlwar,"1,817,756","1,312,033","2,263,134","1,065,141,793","19,084,127,760","62,620","1,835,946","1,314,122","2,297,248","1,065,141,793","19,617,653,333","63,696",,,,
9383865,xDiazovix,"1,829,890","1,148,345","30,297,823","4,754,381,030","21,952,596,218","95,403","1,831,599","1,149,729","30,433,888","5,149,381,030","22,203,696,638","96,476",,,,
7645762,Mr Gambit,"1,022,580","1,162,088","4,799,538","8,978,437,603","14,582,427,805","69,743","1,022,580","1,162,088","4,799,539","9,348,437,607","14,772,278,419","70,531",,,,
14308259,LazyAK,"2,363,178","1,139,252","3,868,613","3,545,680,121","25,794,584,573","168,957","2,370,973","1,139,252","3,911,362","3,545,680,121","26,289,048,359","172,802",,,,
28296848,DragonSlayerâ€˜,"4,498,936","1,290,846","1,047,611","7,091,794,061","20,228,808,017","132,100","4,533,508","1,309,495","1,073,671","7,091,794,061","20,476,836,886","135,062",,,,
56508340,$2 BRIANA 32,"8,962,563","5,037,895","84,124,453","22,119,490,988","14,917,535,462","182,029","9,119,641","5,084,460","84,251,393","23,854,490,988","14,961,981,886","186,377",,,,
3298896,VeGeTo,"4,072,418","4,357,721","14,540,471","26,861,700,552","15,923,493,511","62,101","4,169,816","4,638,706","14,726,438","27,676,700,552","15,933,009,039","63,036",,,,
9156365,RH Rici,"8,469,697","3,505,644","10,098,679","15,144,631,657","25,117,275,334","103,356","8,477,423","3,514,683","10,154,105","15,554,631,657","25,462,661,511","106,520",,,,
20957449,WarSimi,"3,611,156","3,544,304","7,402,248","927,279,119","10,647,770,247","42,476","3,611,790","3,550,127","7,462,294","927,279,119","10,777,337,508","42,756",,,,
6327022,StJamrockSt,"991,112","402,655","1,281,397","1,910,083,780","17,341,269,298","75,342","1,014,666","409,932","1,310,219","1,910,083,780","17,410,189,570","76,247",,,,
