,Id,name,DeathReq,KillReq
0,14466663,Nodoevents,5700000,35000000
1,9755112,Mr Patito,4200000,35000000
2,42272356,Monkey Whale,2700000,27000000
3,9430116,ABG71,2700000,27000000
4,67220414,CloudStrife,2100000,21000000
5,20690937,Lv94hate24,2100000,21000000
6,28150613,Memoza,2100000,21000000
7,14331709,Bret19,2100000,21000000
8,9387032,BAnanaa,2100000,21000000
9,3567450,drakirlwar,2100000,21000000
10,9383865,xDiazovix,2100000,21000000
11,7645762,Mr Gambit,2100000,21000000
12,14308259,LazyAK,2100000,21000000
13,28296848,DragonSlayerâ€˜,2100000,21000000
14,56508340,$2 BRIANA 32,2100000,21000000
15,3298896,VeGeTo,2100000,21000000
16,9156365,RH Rici,2100000,21000000
17,20957449,WarSimi,2100000,21000000
18,6327022,StJamrockSt,2100000,21000000
19,50946531,stompy,2100000,21000000
20,28110550,WILKINS,2100000,21000000
21,20714976,SuicideZal3ra,2100000,21000000
22,14215825,Psaki AleX,2100000,21000000
23,1742231,TarantinoBZH,2100000,21000000
24,28261673,Abo Alfoz,2100000,21000000
25,9067996,Nub Sui,2100000,21000000
26,22905119,HAYZEUS,2100000,21000000
27,7727288,TreizNrV,2100000,21000000
28,2658308,Valkynaz,1500000,15000000
29,9066552,Castario,1500000,15000000
30,20413930,PuntsHer,1500000,15000000
31,12636696,RtiggerSz,1500000,15000000
32,705324,EP Envy,1500000,15000000
33,14169834,nubKris S}0]Â£!,1500000,15000000
34,56459657,Arsenal999,1500000,15000000
35,19437786,,1500000,15000000
36,7228066,ck0403my,1500000,15000000
37,434262,Anthony76,1500000,15000000
38,13863867,Nezhaforever,1500000,15000000
39,9107928,IFudgel,1500000,15000000
40,3317232,leboomer,1500000,15000000
41,22375708,Nathalie95,1500000,15000000
42,35238338,KnightsGamer,1500000,15000000
43,37024046,Its Qwert,1500000,15000000
44,20700297,SWhiskey3t,1500000,15000000
45,3463423,Aen peper,1500000,15000000
46,9428066,Lionel Messi,1500000,15000000
47,10978057,SER3van32t,1500000,15000000
48,28274829,2# GOLLY aun,1500000,15000000
49,1.01E+08,OldReStoratol,1500000,15000000
50,14175833,Staxonstacks,1500000,15000000
51,9076498,SQMistress3t,1500000,15000000
52,9855970,Rabid Dog,1500000,15000000
53,9471719,Lastwar,1500000,15000000
54,11980323,TomHDL,1500000,15000000
55,14109586,Heresy III,1500000,15000000
56,17565504,Cozzz,1500000,15000000
57,28270506,CarrierJohn,1500000,15000000
58,22945051,Lexa Heda,1500000,15000000
59,28303594,THE RICO,1500000,15000000
60,19659482,Luness,1500000,15000000
61,72081749,OHPaSaMa,1500000,15000000
62,9828945,ivysaurus,1500000,15000000
63,20895987,StLecheSt,1500000,15000000
64,17405603,NeymakR Jr,1500000,15000000
65,28228449,Persinga ngaw,1500000,15000000
66,2451401,Speccy4eyes,1500000,15000000
67,28214592,SAADIraqi lion,1500000,15000000
68,15987592,4 Hexagon L,1500000,15000000
69,3964251,Highlander79,1500000,15000000
70,16385321,MA} MAK,1500000,15000000
71,17396209,Rilleks,1500000,15000000
72,37271872,OHSleipnir,1500000,15000000
73,46572157,RonnyEbw,1500000,9000000
74,34692668,Rik Noname,1500000,9000000
75,3480912,xzec,1500000,9000000
76,34798475,CarrierJ,1500000,9000000
77,28325228,Budluck'R,1500000,9000000
78,17533687,MadAttendant,1500000,9000000
79,27234433,DanielSebb,1500000,9000000
80,29734240,2H Chnew89,1500000,9000000
81,18208784,JU Stax,1500000,9000000
82,38693871,FaFouTis,1500000,9000000
83,9406091,Luis Suarez,1500000,9000000
84,28270146,Leann6661,1500000,9000000
85,2411461,Made in LLT,1500000,9000000
86,64909981,X Black Flag X,1500000,9000000
87,29097632,DuracelL,1500000,9000000
88,19744769,St Lady D 82,1500000,9000000
89,28208448,EnergiZer,1500000,9000000
90,34122980,Jagya bhil,1500000,9000000
91,94442537,xajMosaX,1500000,9000000
92,11113359,SZZOROSZ,1500000,9000000
93,31578656,DAVID,1500000,9000000
94,76525179,AAGH,1500000,9000000
95,84152882,WoodyDucky,1500000,9000000
96,33502549,ShetlonAbove',1500000,9000000
97,39414083,999Snoop,1500000,9000000
98,15168507,Highlander79 |,1000000,9000000
99,3463556,Thunderstick,1000000,9000000
100,9391109,ZH Egle,1000000,9000000
101,9450025,ZoO Anarchy,1000000,9000000
102,83358707,imad 2,1000000,9000000
103,7385964,SZ RomioS,1000000,9000000
104,56842186,S Tyrande 8,1000000,9000000
105,30889521,RhECrypto,1000000,9000000
106,56780541,â€œEinherjarS,1000000,9000000
107,19241701,POOCH Maniw,1000000,9000000
108,17642161,StAlfaKoral3z,1000000,9000000
109,50899585,CALLMESTAX â€œ,1000000,9000000
110,13719316,TECHSIN,1000000,9000000
111,77174079,OHVickydiel,1000000,9000000
112,14915327,Secret Squirre,1000000,9000000
113,23663084,MALYL,1000000,9000000
114,61716103,Donar1887,1000000,9000000
115,11323855,Nine Â©,1000000,9000000
116,89220552,ir â€˜yMaster Po,1000000,5400000
117,28287230,MoDy77,1000000,5400000
118,6831976,rip joe,1000000,5400000
119,17824938,Devil U made,1000000,5400000
120,14125876,Bad Iskan,1000000,5400000
121,60277847,Bad Lagou37,1000000,5400000
122,36747489,Ephantis,1000000,5400000
123,3461098,ti Johnbernie,1000000,5400000
124,9167319,Phak Yu Putin,1000000,5400000
125,14275450,Poppops 4674,1000000,5400000
126,4010791,starboost,1000000,5400000
127,28305385,KAIDOUsa,1000000,5400000
128,14202127,Edvus,1000000,5400000
129,35790056,AsIZE,1000000,5400000
130,28419870,Heisenberg 89,1000000,5400000
131,13880048,Pugsley97,1000000,5400000
132,52086629,Rolpsy,1000000,5400000
133,4016167,Ldcarpathes,1000000,5400000
134,17641032,General Miner:,1000000,5400000
135,2353964,derpstone,1000000,5400000
136,728156,Marychris,1000000,5400000
137,39381278,999Wolf,1000000,5400000
138,28282912,Lans66,1000000,5400000
139,28343184,Najmil1,1000000,5400000
140,8064984,minidrake,1000000,5400000
141,28300028,ABU NASSER,1000000,5400000
142,42514893,WrEcK HaVoK,1000000,5400000
143,9392884,educet,1000000,5400000
144,60965001,IJ uulHEMIlJ,1000000,5400000
146,53452615,El Paquito,1000000,5400000
147,28379153,Dana iw,1000000,5400000
148,2616715,ARNO le NORD,1000000,5400000
149,31369906,Wan Shein,1000000,5400000
150,21017676,badGazzaG,1000000,5400000
151,2486726,@G Senpai,1000000,5400000
152,99396699,OHMadMax64,1000000,5400000
153,12451821,Onsenffou,1000000,5400000
154,7722826,LordNameless,1000000,5400000
155,29881568,Milanok,1000000,5400000
156,1.03E+08,OHabbspeed,1000000,5400000
157,15168136,SZ LUFFY SZ,1000000,5400000
158,28481843,budluckTR2,1000000,5400000
159,2524989,Huracan88&,1000000,5400000
160,52610162,PrincipalAnd,1000000,5400000
161,37026347,Nurse Q,1000000,5400000
162,20981772,BadAtiLa 1,1000000,5400000
163,29944980,ROLLING STO?,1000000,5400000
164,82810160,Filoucheqc,1000000,5400000
165,19126061,Xagoa,1000000,5400000
166,28259686,Master Binbin,1000000,5400000
167,26583819,Budluck0Oo'R,1000000,5400000
168,28209988,Jaeger 69,1000000,5400000
169,29093542,ConfusedWolfi,1000000,5400000
170,6167238,Diz5,1000000,5400000
171,1.02E+08,Abo Alfoz2,1000000,5400000
172,30552095,FiihrerBiscott,1000000,5400000
173,99483710,Kiistenmadel,1000000,5400000
174,9505548,Ovidan,1000000,5400000
175,1.00E+08,SchadowSharl,1000000,5400000
176,41959939,Fisch24,1000000,5400000
177,7870915,ii Bretw,1000000,3000000
178,1.33E+08,OHRoman ST,1000000,3000000
179,6167868,Rabid dog,1000000,3000000
180,3738869,BiggusDickus8,1000000,3000000
181,10135175,Rabid 2,1000000,3000000
182,15995569,ii Bert19,1000000,3000000
183,51823914,crsEST9876,1000000,3000000
184,24750872,KZ Zz king zoo,1000000,3000000
185,13783623,Markynaz,1000000,3000000
186,30296384,DragonFire73,1000000,3000000
187,82410647,PsakiPsaki,1000000,3000000
188,31262259,Jr Persinga,1000000,3000000
189,52832323,WAR SAIL 3,1000000,3000000
190,34987546,Wicked55,1000000,3000000
191,85093514,Psaki Xxxx,1000000,3000000
192,85093514,Psaki Xxxx,1000000,3000000
193,30437585,TKLNG,1000000,3000000
194,13339256,hera0209,1000000,3000000
195,29881564,SAADSAAD2,1000000,3000000
196,13576477,Hestia0209,1000000,3000000
197,28292459,PAUL27,1000000,3000000
198,28275966,0 MajdO,1000000,3000000
199,1.03E+08,Pegasus5,1000000,3000000
200,21066929,tigger jr,1000000,3000000
201,28336253,Amier195,1000000,3000000
202,29360204,ck0403my02,1000000,3000000
203,1.10E+08,OHBen,1000000,3000000
204,1.03E+08,FarmKing Beb,1000000,3000000
205,37237092,Irrumatio,1000000,3000000
206,76786622,Arsenal7777,1000000,3000000
207,1.29E+08,Â°HS$chanzo,1000000,3000000
208,54311330,YwajdsYy,1000000,3000000
209,33629885,budluckTR1,1000000,3000000
210,64363945,Dragonfly73,1000000,3000000
211,28215982,gua lJwuE,1000000,3000000
212,86542958,X Barbe Noire},1000000,3000000
213,0,0,1000000,3000000
214,98672609,Psaki alex 5,1000000,3000000
215,27966586,Patrosklaus,1000000,3000000
