Id,name,T3_Kills,T2_Kills,T1_Kills,RssAssistance,RssGathered,AllianceHelp
14466663,Nodoevents,448193,838105,1054549,1304534870,14721769161,34761
9755112,Mr Patito,2604331,3488048,7583633,9669923668,30617163189,180332
14182901,EL Kaizér,4410968,2922333,9355446,11876410580,20190359362,69369
20690937,Lv94hate24,2073069,1655893,36890668,7156595273,25859188736,204847
14331709,"Hr

rlo

Bret19",1918245,2027065,5812648,3260329070,29152256947,194291
28296848,DragonSlayer‘,4533508,1309495,1073671,7091794061,20476836886,135062
9430116,ABG71,1134588,2207049,8225182,4956897871,19413924501,240877
7645762,Mr Gambit,1022580,1162088,4799539,9348437607,14772278419,70531
67220414,CloudStrife,604232,595880,89410414,18570948451,15777562872,98056
28261673,Abo Alfoz,1407806,2121008,4451295,1154225055,25448383323,175187
9828521,SweetSenorite,643495,}1166770,6850327,18432361426,14611911410,220071
4233490,Kev38,819756,1429216,37850600,17166367734,30446060727,126657
28150613,Memoza,458455,1213921,2397795,2009450229,22525992304,63757
9387032,BAnanaa,623943,1166922,1593912,6830842384,37526146963,116156
14308259,LazyAK,2370973,1139252,3911362,3545680121,26289048359,172802
12636696,RtiggerSz,1190004,333340,2147386,7952515572,27351738983,117742
22905119,HAYZEUS,14700827,6730240,28159593,8934152908,23110979835,51714
2658308,Valkynaz,6126741,2482861,11751511,5938202752,22404434819,84910
20957449,WarSimi,3611790,3550127,7462294,927279119,10777337508,42756
50946531,stompy,5548363,3282356,11077890,1411329015,28856221428,55118
9066552,Castario,1997979,961716,2636141,2584352387,15216122590,93769
6327022,StJamrockSt,1014666,409932,1310219,1910083780,17410189570,76247
14175833,Staxonstacks,954099,279515,1499927,2523176918,27181633671,127471
9383865,xDiazovix,1831599,1149729,30433888,5149381030,22203696638,96476
19437786,,796386,913746,5958795,8587287651,19751072685,135879
3567450,drakirlwar,1835946,1314122,2297248,1065141793,19617653333,63696
28110550,WILKINS,1367738,814663,1206747,2094718335,26114755869,76974
35238338,KnightsGamer,35230,82880,226576,14139993913,19497595789,30046
20413930,Turbo,2552593,1787921,4784360,2514054184,16917672631,46525
14169834,nubKris S}0]£!,4139846,2598374,6060011,8342548887,21092299897,138162
434262,Anthony76,578339,338820,589736,6086674350,23279655070,55809
11729169,bad Apmqw,337269,447067,8907565,3828360793,15451550349,88631
42272356,Monkey Whale,5058809,2431871,9696181,10548262805,12298913483,105459
10978057,SER3van32t,436454,572048,333614,11384973533,23096976157,47205
56508340,$2 BRIANA 32,9119641,5084460,84251393,23854490988,14961981886,186377
20714976,SuicideZal3ra,130696,150322,1587142,4462998183,26337786751,79140
705324,EP Envy,659481,1112693,6451730,3862283597,18522799433,138541
28274829,2# GOLLY aun,3408626,3375911,1910533,4122758000,14128973532,106037
56459657,Arsenal999,383239,1980161,4848010,3140126560,12847200309,75636
3463423,Emigreentis,643055,491077,1502496,4893796737,23425565379,175306
9107928,IFudgel,1808043,1621858,13363953,7742564278,25028047749,92443
22945051,Lexa Heda,568471,3548884,20620880,1693453101,23155872231,98808
9156365,RH Rici,8477423,3514683,10154105,15554631657,25462661511,106520
7727288,TreizNrV,1416448,1731459,3128000,"7,370,867 ,848",32104310784,151717
3298896,VeGeTo,4169816,4638706,14726438,27676700552,15933009039,63036
100874126,OldReStoratol,4301998,3666510,4369407,1774929210,15878843043,71773
10115483,WiseGuysFear,2785404,904613,5505111,3007642472,12097063380,40818
28303594,THE RICO,1363690,1944659,3080611,1393000000,22479209087,70054
7228066,ck0403my,923119,1147633,3911397,3477462477,32226131276,126412
14215825,Psaki AleX,505273,611526,10073852,2509794956,35653906525,142536
15987592,4 Hexagon L,363380,322984,997979,5403537070,17328404915,66663
17565504,Cozzz,2164895,1738381,2233563,1023396053,28176005188,86209
22375708,Nathalie95,1565495,1031885,28618306,3338461751,27701798093,196177
16385321,MA} MAK,10325,36239,251450,24415144766,16744026090,45704
9428066,Lionel Messi,1818001,1977088,6777230,5177401280,6728212292,71159
14346580,Nobody,2030889,1345786,2464347,3004919162,11625390232,57232
3317232,leboomer,1462767,1545115,42277663,10808765829,23574098205,98960
9855970,Rabid Dog,160316,341958,1138360,4018078549,19289622670,49552
20895987,StLecheSt,2112589,888267,12667613,8574983709,13461615333,83484
